TOA5,WES_02,CR6,20451,CR6.Std.12.00 RF4xx.02.00,CPU:2024_WES_EZ_FINAL_022924v6.CR6,27880,Flux_CSIFormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Site,batt_volt,FC_mass,FC_QC,FC_samples,LE,ET,LE_QC,LE_samples,H,H_QC,H_samples,H_FW,H_FW_samples,G,G_1_1_1,G_2_1_1,SG_1_1_1,SG_2_1_1,energy_closure,poor_energy_closure_flg,Bowen_ratio,TAU,TAU_QC,USTAR,TSTAR,TKE,TA_1_1_1,RH_1_1_1,T_DP_1_1_1,amb_e,amb_e_sat,TA_2_1_1,RH_2_1_1,T_DP_2_1_1,e,e_sat,TA_3_1_1,RH_3_1_1,T_DP_3_1_1,e_probe,e_sat_probe,H2O_probe,PA,VPD,P_Tot,Ux,Ux_SIGMA,Uy,Uy_SIGMA,Uz,Uz_SIGMA,T_SONIC,T_SONIC_SIGMA,sonic_azimuth,WS,WS_RSLT,WD_SONIC,WD_SIGMA,WD,WS_MAX,CO2_density,CO2_density_SIGMA,H2O_density,H2O_density_SIGMA,CO2_sig_strgth_Min,H2O_sig_strgth_Min,FW,FW_SIGMA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,sun_azimuth,sun_elevation,hour_angle,sun_declination,air_mass_coeff,daytime,T_CANOPY,T_SI111_body,TS_1,TS_2,SoilWater_1,SoilWater_2,hydra1_temp,hydra2_temp,shf_plate_Avg(1),shf_plate_Avg(2),Duty_cycle_TS100_Fan_Avg,Freq_tach_TS100_Avg,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,UPWND_DIST_INTRST,FP_DIST_INTRST,FP_EQUATION
TS,RN,,V,mg m-2 s-1,Grade,samples,W m-2,mm hour-1,Grade,samples,W m-2,grade,samples,W m-2,samples,,W m-2,W m-2,W m-2,W m-2,fraction,,fraction,kg m-1 s-2,grade,m s-1,deg C,m2 s-2,deg C,%,deg C,kPa,kPa,deg C,%,deg C,kPa,kPa,deg C,%,deg C,kPa,kPa,g/m^3,kPa,hPa,mm,m s-1,m s-1,m s-1,m s-1,m s-1,m s-1,deg C,deg C,Decimal degrees,m s-1,m s-1,decimal degrees,decimal degrees,decimal degrees,m s-1,mg m-3,mg m-3,g m-3,g m-3,fraction,fraction,deg C,deg C,W m-2,W m-2,W m-2,W m-2,W m-2,decimal degrees,decimal degrees,decimal degrees,decimal degrees,adimensional,fraction,deg C,deg C,deg C,deg C,%,%,deg C,deg C,W m-2,W m-2,,Hz,m,m,m,m,m,%,authors
,,Smp,Avg,Smp,Smp,Tot,Smp,Smp,Smp,Tot,Smp,Smp,Tot,Smp,Tot,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Tot,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Min,Min,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Tot,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp,Smp
4/16/24 0:00,507,WES,12.72205,0.2366616,2,36000,6.560388,0.009593254,1,36000,-27.90001,1,36000,NAN,0,-31.29221,-48.05524,-14.52917,-18.54107,-7.496989,0.4376011,0,-4.252799,0.04364251,1,0.18956,0.120021,0.1767117,11.77813,68.95679,6.272646,0.9569885,1.387876,16.54315,51.49104,6.513132,0.9729888,1.890207,11.62584,88.61186,9.810147,1.217436,1.373961,9.263498,101.347,9.17218,0,0.4253762,0.3908877,1.232275,0.3867237,0.000156267,0.2259979,17.43106,0.2730271,0,1.36122,1.303631,70.95556,16.66065,289.0444,3.018029,819.7555,6.37464,7.277846,0.05732403,0.887033,0.8524528,NAN,NAN,-80.05722,-0.8254443,0.1456667,288.1567,367.2427,353.4438,-41.84256,175.0365,10.33625,NAN,0,10.16293,11.44406,12.46404,16.93063,27.50111,37.72445,12.69556,16.77,-29.51,-7.032,0.5,1986,25.70421,1009.52,117.6727,72.16351,666.6667,86.39326,KormannMeixner
4/16/24 0:30,508,WES,12.70673,0.1845041,3,36000,6.011518,0.008786924,3,36000,-19.7598,3,36000,NAN,0,-35.51421,-45.82038,-25.20804,-16.42041,-17.70609,0.3188467,0,-3.28699,0.03877276,1,0.1785353,0.09012172,0.1391672,11.35577,69.94434,6.073243,0.9438837,1.349695,16.10275,52.23078,6.31279,0.9596291,1.837939,11.23427,89.85309,9.630582,1.202845,1.338849,9.165069,101.3423,8.783099,0,0.1263997,0.3001806,1.118735,0.3859394,0.02068071,0.1981838,16.97704,0.2908334,0,1.166973,1.125854,83.55377,15.20465,276.4462,2.671814,834.5464,8.527913,7.188848,0.04315021,0.8870586,0.8525909,NAN,NAN,-78.633,-0.8252222,0.1315555,287.7395,365.4157,63.35735,-42.00119,-117.4627,10.34373,NAN,0,9.75094,11.09824,12.29108,16.81974,27.57333,37.73666,12.55556,16.66,-29.4,-7.502,0.5,1984,22.12228,830.4399,100.4474,61.74736,666.6667,88.19516,KormannMeixner
4/16/24 1:00,509,WES,12.70033,0.2209244,1,36000,5.760603,0.008418157,2,36000,-19.42818,1,36000,NAN,0,-38.70655,-55.19589,-22.21722,-25.70157,-14.09201,0.3509326,0,-3.372595,0.0365192,1,0.1732,0.09127256,0.1321663,11.06877,70.32707,5.87811,0.9312232,1.324136,15.85418,52.35848,6.119442,0.9469,1.808859,10.93661,91.13222,9.547629,1.196158,1.312556,9.123682,101.3313,8.619588,0,0.3556828,0.3088263,1.21854,0.355002,-0.01671497,0.2072015,16.71628,0.2151297,0,1.305981,1.269392,73.72789,13.55784,286.2721,2.91642,838.894,3.58368,7.099589,0.04260672,0.8869792,0.8525259,NAN,NAN,-77.653,-0.7842222,0.1402222,287.6758,364.4043,13.15254,-41.13945,-169.9612,10.35099,NAN,0,9.592642,10.74272,12.10465,16.7,27.32444,37.71666,12.36778,16.47111,-29.49,-8.12,0.5,1981,28.71845,1141.018,131.0822,80.47897,666.6667,85.13647,KormannMeixner
4/16/24 1:30,510,WES,12.70318,0.3233503,2,36000,37.46363,0.05473161,4,36000,-20.80618,1,36000,NAN,0,-34.70904,-47.26962,-22.14847,-17.62831,-13.46375,-0.3983867,0,-0.5553699,0.02899296,4,0.154246,0.1096696,0.1136772,10.72096,69.19946,5.302663,0.8954176,1.293858,15.56465,51.30653,5.546041,0.9106815,1.775641,10.58993,91.93785,9.335319,1.179189,1.282614,9.005238,101.3185,8.649593,0,0.3901006,0.3244129,1.074189,0.2921136,-0.04333708,0.1917821,16.39287,0.2096618,0,1.186996,1.142833,70.04101,15.62395,289.959,2.624225,843.5397,7.200226,6.834942,0.2771627,0.8829027,0.851461,NAN,NAN,-76.52133,-0.7974444,0.1164444,286.931,362.5384,22.51653,-39.3099,-162.4599,10.35828,NAN,0,9.199597,10.42969,11.93969,16.59619,27.29333,37.71222,12.19778,16.29555,-29.64,-8.68,0.5,1978,29.32873,1195.889,135.7116,82.731,666.6667,84.668,KormannMeixner
4/16/24 2:00,511,WES,12.68668,-1.511997,7,36000,10.52101,0.01536636,7,36000,33.34892,7,36000,NAN,0,-37.31992,-49.56022,-25.07963,-19.60539,-15.86107,-1.120551,0,3.169745,0.1737349,7,0.377391,-0.07177033,0.794825,10.52616,70.56459,5.404366,0.9011148,1.27738,15.28914,52.54585,5.644097,0.9162431,1.745044,10.41457,91.75219,9.131568,1.163195,1.267817,8.888509,101.3262,8.288011,0,0.2259454,0.67557,0.3663068,1.042418,-0.03164137,0.2159181,16.12163,0.4644927,0,1.206849,0.4303894,58.33313,64.97076,301.6669,3.828593,845.1274,18.38335,6.88316,0.04329291,0.88594,0.852031,NAN,NAN,-76.47022,-0.7704444,0.1441111,285.9966,361.5522,31.23167,-36.61356,-154.959,10.36575,NAN,0,9.016802,10.29327,11.7595,16.4811,27.32778,37.73555,12.02778,16.2,-29.95,-9.22,0.5,1976,91.42002,254.856,130.3838,98.64357,666.6667,99.52852,Kljun et al
4/16/24 2:30,512,WES,12.66767,0.1991801,7,36000,-3.795769,-0.005537246,7,36000,-3.141182,7,36000,NAN,0,-33.03867,-51.28992,-14.78742,-20.56446,-5.128677,0.2348369,0,0.8275484,0.0459027,7,0.1935373,0.0131232,0.3995062,9.236052,74.87464,5.015037,0.8770261,1.171383,14.04188,55.42135,5.257241,0.8919498,1.609509,9.278374,95.96384,8.666722,1.127144,1.174743,8.647779,101.3458,7.175597,0,-0.2260128,0.4142088,0.0844652,0.7761071,-0.02460853,0.1584335,14.84856,0.1474785,0,0.7723725,0.2412798,159.508,67.16713,200.492,2.96788,929.4675,8.690528,6.729775,0.05752382,0.8840186,0.8495872,NAN,NAN,-62.57811,-0.661,0.1612222,295.5769,357.3328,39.19809,-33.17647,-147.4577,10.37314,NAN,0,8.220953,9.367704,11.56775,16.3919,27.09444,37.59777,11.84555,16.03111,-30.72,-9.66,0.5,1971,1.024106,28.01917,10.47287,2.953018,666.6667,110.9594,KormannMeixner
4/16/24 3:00,513,WES,12.66318,0.2771429,9,36000,-3.232539,-0.004716317,9,36000,-12.7391,9,36000,NAN,0,-48.88721,-56.02021,-41.75421,-24.37689,-31.63371,-3.110289,0,3.940895,0.008389265,9,0.08274762,0.124516,0.0612215,9.31148,73.34516,4.792237,0.8634819,1.177354,14.19804,54.03542,5.037969,0.8784232,1.626149,9.165348,97.70882,8.822055,1.139098,1.165798,8.742935,101.3732,7.477254,0,0.03161227,0.1992576,1.097623,0.2680237,-0.008422555,0.1044161,14.99261,0.335331,0,1.11788,1.098083,88.3503,10.77922,271.6497,2.028146,915.4991,15.17671,6.624079,0.04531066,0.8841885,0.8497901,NAN,NAN,-43.75211,-0.6236666,0.1238889,313.6266,356.6312,46.41357,-29.12815,-139.9561,10.3803,NAN,0,8.106244,8.883408,11.35999,16.27093,27.17778,37.37111,11.61444,15.87556,-31.64,-10.12,0.5,1967,88.09337,3504.222,402.1613,241.6015,666.6667,67.37093,KormannMeixner
4/16/24 3:30,514,WES,12.65718,0.1232729,9,36000,-1.128024,-0.001645072,9,36000,-6.4335,9,36000,NAN,0,-40.39226,-55.30478,-25.47973,-23.11114,-14.7359,-2.64324,0,5.703335,0.007394265,9,0.07761956,0.06693576,0.0467876,8.918847,72.60604,4.269656,0.832492,1.146561,13.73523,53.66663,4.51118,0.8467065,1.577835,8.776883,97.60843,8.419542,1.108449,1.135614,8.519423,101.3705,7.311282,0,0.2050939,0.1811192,1.004376,0.2279019,-0.01504693,0.09397738,14.49988,0.2106761,0,1.040901,1.025096,78.45879,9.981009,281.5412,1.888735,921.2932,13.89026,6.395216,0.07480697,0.8847639,0.8504373,NAN,NAN,-37.53156,-0.6184444,0.1307778,318.2487,355.031,52.9393,-24.58717,-132.4552,10.38777,NAN,0,7.787887,8.656743,11.13132,16.12298,27.20778,37.39333,11.43444,15.75,-32.19,-10.74,0.5,1965,87.04144,4017.005,422.2007,249.4076,666.6667,65.94045,KormannMeixner
