TIMESTAMP,Site,H_WL_IRT,H_SR_FW1,H_SR_FW2,NETRAD,G,LE,ET
4/16/24 1:00, Tower1,-22.70692361,-37.39721204,-41.41007524,-89.3,-8.93,-57.66307639,-0.042364709
4/16/24 1:30, Tower1,-18.84438363,-33.0147292,-38.62303626,-88.3,-8.83,-60.62561637,-0.044541269
4/16/24 2:00, Tower1,-17.641376,-30.06145185,-31.0096085,-88.2,-8.82,-61.738624,-0.045358989
4/16/24 2:30, Tower1,-13.99559908,-6.426917435,-5.081400783,-72.23,-7.223,-51.01140092,-0.037477764
4/16/24 3:00, Tower1,-16.89185155,-18.95706107,-11.23032317,-50.7,-5.07,-28.73814845,-0.021113742
4/16/24 3:30, Tower1,-12.81069573,-21.10082034,-24.15403834,-44.34,-4.434,-27.09530427,-0.019906754
4/16/24 4:00, Tower1,-15.375667,-25.75117744,-16.42995494,-40.41,-4.041,-20.993333,-0.015423673
4/16/24 4:30, Tower1,-16.18825374,-11.9082855,-7.437680996,-37.34,-3.734,-17.41774626,-0.012796712
4/16/24 5:00, Tower1,-15.49404337,-32.87142453,-34.16113054,-34.48,-3.448,-15.53795663,-0.011415642
4/16/24 5:30, Tower1,-15.03528014,-22.20956057,-20.44618788,-32.14,-3.214,-13.89071986,-0.010205427
4/16/24 6:00, Tower1,-19.71266066,-11.31496789,-6.198740481,3.571,0.3571,22.92656066,0.016844004
4/16/24 6:30, Tower1,0,-5.887129388,-5.574923183,55.08,5.508,49.572,0.036420245
4/16/24 7:00, Tower1,21.00999595, nan,-0.503678266,76.35,7.635,47.70500405,0.035048574
4/16/24 7:30, Tower1,31.70312761,11.67198198,166.8469617,147,14.7,100.5968724,0.073907906
4/16/24 8:00, Tower1,48.08840612,14.55100145,13.78327674,221.9,22.19,151.6215939,0.111395457
4/16/24 8:30, Tower1,72.03717847,32.29227041,27.35359273,297.7,29.77,195.8928215,0.143921257
4/16/24 9:00, Tower1,43.46067474,82.966832,39.71171609,367.6,36.76,287.3793253,0.211135831
4/16/24 9:30, Tower1,103.0004772,48.05013926,37.93337834,424.5,42.45,279.0495228,0.205015976
4/16/24 10:00, Tower1,97.62593966,32.64019436,26.31601046,485.2,48.52,339.0540603,0.249100942
4/16/24 10:30, Tower1,104.8107847,63.42725181,57.24846236,548.8,54.88,389.1092153,0.285876158
4/16/24 11:00, Tower1,134.0365718,49.06642437,44.29619713,555.7,55.57,366.0934282,0.2689666
4/16/24 11:30, Tower1,109.3572128,217.1607765,62.07133875,590.1,59.01,421.7327872,0.309844497
4/16/24 12:00, Tower1,116.8599326,63.8676951,60.74004464,603.9,60.39,426.6500674,0.313457192
4/16/24 12:30, Tower1,157.0910671,100.6062188,111.7033321,598.5,59.85,381.5589329,0.280329012
4/16/24 13:00, Tower1,132.5687542,98.69475937,110.9791398,582.5,58.25,391.6812458,0.287765813
4/16/24 13:30, Tower1,150.3045848,83.37608174,98.93775129,526.4,52.64,323.4554152,0.237640713
4/16/24 14:00, Tower1,126.5810678,69.75122919,91.07735388,445,44.5,273.9189322,0.201246562
4/16/24 14:30, Tower1,118.5091207,91.32089463,102.7842403,424.3,42.43,263.3608793,0.193489626
4/16/24 15:00, Tower1,131.6903745,50.3770576,65.35183281,372.5,37.25,203.5596255,0.149554011
4/16/24 15:30, Tower1,69.52085759,30.42325523,33.88944246,338,33.8,234.6791424,0.172417329
4/16/24 16:00, Tower1,73.84720613,37.30932393,38.18148836,225.8,22.58,129.3727939,0.0950494
4/16/24 16:30, Tower1,38.26749464, nan,11.51349959,133.1,13.31,81.52250536,0.059894086
4/16/24 17:00, Tower1,25.66199214,-0.926802687, nan,93.2,9.32,58.21800786,0.042772414
4/16/24 17:30, Tower1,21.67795358,-5.073913493,2.637376681,79,7.9,49.42204642,0.036310075
4/16/24 18:00, Tower1,0,-23.93280935,-11.73276599,5.34,0.534,4.806,0.003530939
4/16/24 18:30, Tower1,-11.25952625,-43.97881323,-32.8016388,-67.52,-6.752,-49.50847375,-0.036373573
4/16/24 19:00, Tower1,-14.97989139,-14.88583035,-57.85910043,-108.7,-10.87,-82.85010861,-0.060869468
4/16/24 19:30, Tower1,-10.44629071,-33.95668973,-37.27430044,-95.2,-9.52,-75.23370929,-0.055273746
4/16/24 20:00, Tower1,-31.76648856,-98.44358722,-84.50388049,-95.7,-9.57,-54.36351144,-0.039940539
4/16/24 20:30, Tower1,-25.69882751,-53.72959128,-66.54533812,-95.8,-9.58,-60.52117249,-0.044464535
4/16/24 21:00, Tower1,-27.1852062,-63.5764355,-70.13327827,-96.4,-9.64,-59.5747938,-0.043769236
4/16/24 21:30, Tower1,-35.18789006,-78.18554631,-82.47219528,-99.4,-9.94,-54.27210994,-0.039873387
4/16/24 22:00, Tower1,-48.5172394,-68.69896031,-63.98065437,-99.4,-9.94,-40.9427606,-0.030080396
4/16/24 22:30, Tower1,-31.02921709,-71.2254361,-65.6294893,-96.7,-9.67,-56.00078291,-0.041143432
4/16/24 23:00, Tower1,-29.83170164,-64.41038641,-75.74458781,-93.7,-9.37,-54.49829836,-0.040039566
4/16/24 23:30, Tower1,-33.93743291,-68.06021672,-78.59651293,-94.1,-9.41,-50.75256709,-0.0372876
4/17/24 0:00, Tower1,-22.82569413,-52.48273387,-52.47681075,-95.3,-9.53,-62.94430587,-0.046244796
