TIMESTAMP,Site,H_WL_IRT,Rn,G,LE,ET
4/16/24 1:00, Tower4,-16.68167075,-76.59,-7.659,-52.24932925,-0.038387262
4/16/24 1:30, Tower4,-15.82921316,-75.55,-7.555,-52.16578684,-0.038325884
4/16/24 2:00, Tower4,-20.73543101,-76.46,-7.646,-48.07856899,-0.03532303
4/16/24 2:30, Tower4,-9.975702694,-63.98,-6.398,-47.60629731,-0.034976055
4/16/24 3:00, Tower4,-17.74675398,-43.38,-4.338,-21.29524602,-0.015645487
4/16/24 3:30, Tower4,-14.0697135,-37.02,-3.702,-19.2482865,-0.014141598
4/16/24 4:00, Tower4,-13.81196838,-32.86,-3.286,-15.76203162,-0.011580268
4/16/24 4:30, Tower4,-16.44301452,-29.82,-2.982,-10.39498548,-0.007637132
4/16/24 5:00, Tower4,-15.94547985,-26.98,-2.698,-8.33652015,-0.00612479
4/16/24 5:30, Tower4,-10.05583412,-23.58,-2.358,-11.16616588,-0.008203714
4/16/24 6:00, Tower4,-11.4225095,11.43,1.143,21.7095095,0.015949844
4/16/24 6:30, Tower4,4.400921421,68.6,6.86,57.33907858,0.04212667
4/16/24 7:00, Tower4,15.77237368,78.66,7.866,55.02162632,0.040424052
4/16/24 7:30, Tower4,44.92237826,139.4,13.94,80.53762174,0.059170498
4/16/24 8:00, Tower4,64.52960704,211.1,21.11,125.460393,0.092174983
4/16/24 8:30, Tower4,97.89473182,282.8,28.28,156.6252682,0.115071626
4/16/24 9:00, Tower4,104.7695301,348.1,34.81,208.5204699,0.153198713
4/16/24 9:30, Tower4,91.83215167,406,40.6,273.5678483,0.200988623
4/16/24 10:00, Tower4,155.8568585,476.8,47.68,273.2631415,0.200764757
4/16/24 10:30, Tower4,92.17201263,534.2,53.42,388.6079874,0.285507909
4/16/24 11:00, Tower4,119.9017088,553.3,55.33,378.0682912,0.277764459
4/16/24 11:30, Tower4,182.614267,596.8,59.68,354.505733,0.260453192
4/16/24 12:00, Tower4,140.9135599,615.9,61.59,413.3964401,0.303719834
4/16/24 12:30, Tower4,140.8842136,613.1,61.31,410.9057864,0.301889965
4/16/24 13:00, Tower4,231.8244534,599.9,59.99,308.0855466,0.226348565
4/16/24 13:30, Tower4,170.141083,541.4,54.14,317.118917,0.232985327
4/16/24 14:00, Tower4,141.2985364,463.2,46.32,275.5814636,0.202468014
4/16/24 14:30, Tower4,147.7202356,444,44.4,251.8797644,0.185054521
4/16/24 15:00, Tower4,76.95901979,394.3,39.43,277.9109802,0.204179496
4/16/24 15:30, Tower4,72.98874518,361.4,36.14,252.2712548,0.185342146
4/16/24 16:00, Tower4,48.47395498,251,25.1,177.426045,0.130353829
4/16/24 16:30, Tower4,31.42063675,162.5,16.25,114.8293632,0.08436443
4/16/24 17:00, Tower4,24.36866883,115.4,11.54,79.49133117,0.058401794
4/16/24 17:30, Tower4,5.181517433,102.5,10.25,87.06848257,0.063968681
4/16/24 18:00, Tower4,2.192188661,29.09,2.909,23.98881134,0.017624433
4/16/24 18:30, Tower4,-10.58986488,-45.95,-4.595,-30.76513512,-0.022602956
4/16/24 19:00, Tower4,-18.93486924,-93.6,-9.36,-65.30513076,-0.04797928
4/16/24 19:30, Tower4,-7.502443372,-82.8,-8.28,-67.01755663,-0.049237389
4/16/24 20:00, Tower4,-19.02245891,-82.6,-8.26,-55.31754109,-0.040641459
4/16/24 20:30, Tower4,-26.76321105,-82.7,-8.27,-47.66678895,-0.035020498
4/16/24 21:00, Tower4,-22.08229232,-83.8,-8.38,-53.33770768,-0.039186887
4/16/24 21:30, Tower4,-38.72398589,-86.3,-8.63,-38.94601411,-0.028613398
4/16/24 22:00, Tower4,-25.51086866,-85,-8.5,-50.98913134,-0.037461403
4/16/24 22:30, Tower4,-22.35844087,-83.2,-8.32,-52.52155913,-0.038587268
4/16/24 23:00, Tower4,-29.96578023,-81.2,-8.12,-43.11421977,-0.031675753
4/16/24 23:30, Tower4,-21.97837898,-81.4,-8.14,-51.28162102,-0.037676293
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
