TIMESTAMP;LAI
20170101;1.82
20170102;1.82
20170103;1.82
20170104;1.82
20170105;1.82
20170106;1.82
20170107;1.82
20170108;1.82
20170109;1.81
20170110;1.81
20170111;1.81
20170112;1.81
20170113;1.8
20170114;1.8
20170115;1.8
20170116;1.79
20170117;1.79
20170118;1.79
20170119;1.79
20170120;1.79
20170121;1.79
20170122;1.79
20170123;1.79
20170124;1.8
20170125;1.8
20170126;1.8
20170127;1.8
20170128;1.81
20170129;1.81
20170130;1.81
20170131;1.82
20170201;1.82
20170202;1.83
20170203;1.83
20170204;1.83
20170205;1.84
20170206;1.84
20170207;1.84
20170208;1.84
20170209;1.85
20170210;1.85
20170211;1.86
20170212;1.86
20170213;1.87
20170214;1.87
20170215;1.87
20170216;1.88
20170217;1.88
20170218;1.89
20170219;1.89
20170220;1.9
20170221;1.9
20170222;1.9
20170223;1.91
20170224;1.91
20170225;1.92
20170226;1.92
20170227;1.92
20170228;1.93
20170301;1.93
20170302;1.93
20170303;1.94
20170304;1.94
20170305;1.95
20170306;1.96
20170307;1.96
20170308;1.97
20170309;1.99
20170310;2.0
20170311;2.01
20170312;2.02
20170313;2.03
20170314;2.04
20170315;2.05
20170316;2.06
20170317;2.07
20170318;2.08
20170319;2.09
20170320;2.1
20170321;2.11
20170322;2.11
20170323;2.12
20170324;2.12
20170325;2.12
20170326;2.12
20170327;2.12
20170328;2.12
20170329;2.12
20170330;2.11
20170331;2.1
20170401;2.09
20170402;2.07
20170403;2.06
20170404;2.04
20170405;2.02
20170406;2.0
20170407;1.98
20170408;1.95
20170409;1.93
20170410;1.9
20170411;1.88
20170412;1.86
20170413;1.83
20170414;1.81
20170415;1.79
20170416;1.77
20170417;1.76
20170418;1.74
20170419;1.73
20170420;1.72
20170421;1.71
20170422;1.7
20170423;1.69
20170424;1.69
20170425;1.68
20170426;1.68
20170427;1.67
20170428;1.66
20170429;1.65
20170430;1.64
20170501;1.63
20170502;1.62
20170503;1.6
20170504;1.59
20170505;1.57
20170506;1.55
20170507;1.53
20170508;1.5
20170509;1.48
20170510;1.45
20170511;1.42
20170512;1.39
20170513;1.36
20170514;1.33
20170515;1.3
20170516;1.27
20170517;1.25
20170518;1.22
20170519;1.19
20170520;1.16
20170521;1.14
20170522;1.12
20170523;1.09
20170524;1.08
20170525;1.06
20170526;1.06
20170527;1.05
20170528;1.05
20170529;1.06
20170530;1.07
20170531;1.08
20170601;1.1
20170602;1.11
20170603;1.13
20170604;1.15
20170605;1.18
20170606;1.2
20170607;1.22
20170608;1.24
20170609;1.27
20170610;1.29
20170611;1.31
20170612;1.33
20170613;1.34
20170614;1.36
20170615;1.37
20170616;1.38
20170617;1.38
20170618;1.38
20170619;1.38
20170620;1.38
20170621;1.37
20170622;1.36
20170623;1.36
20170624;1.36
20170625;1.35
20170626;1.34
20170627;1.33
20170628;1.33
20170629;1.32
20170630;1.3
20170701;1.29
20170702;1.28
20170703;1.26
20170704;1.25
20170705;1.24
20170706;1.22
20170707;1.21
20170708;1.2
20170709;1.18
20170710;1.18
20170711;1.17
20170712;1.16
20170713;1.15
20170714;1.15
20170715;1.15
20170716;1.14
20170717;1.14
20170718;1.14
20170719;1.14
20170720;1.14
20170721;1.14
20170722;1.15
20170723;1.15
20170724;1.15
20170725;1.15
20170726;1.16
20170727;1.16
20170728;1.16
20170729;1.16
20170730;1.17
20170731;1.16
20170801;1.17
20170802;1.17
20170803;1.17
20170804;1.17
20170805;1.17
20170806;1.17
20170807;1.17
20170808;1.17
20170809;1.17
20170810;1.17
20170811;1.17
20170812;1.17
20170813;1.17
20170814;1.17
20170815;1.17
20170816;1.17
20170817;1.17
20170818;1.17
20170819;1.16
20170820;1.16
20170821;1.16
20170822;1.16
20170823;1.16
20170824;1.15
20170825;1.15
20170826;1.15
20170827;1.15
20170828;1.15
20170829;1.15
20170830;1.14
20170831;1.14
20170901;1.14
20170902;1.14
20170903;1.14
20170904;1.13
20170905;1.13
20170906;1.13
20170907;1.13
20170908;1.13
20170909;1.13
20170910;1.13
20170911;1.12
20170912;1.13
20170913;1.12
20170914;1.12
20170915;1.12
20170916;1.12
20170917;1.12
20170918;1.12
20170919;1.12
20170920;1.12
20170921;1.11
20170922;1.11
20170923;1.11
20170924;1.11
20170925;1.1
20170926;1.1
20170927;1.09
20170928;1.09
20170929;1.08
20170930;1.07
20171001;1.06
20171002;1.05
20171003;1.04
20171004;1.03
20171005;1.01
20171006;1.0
20171007;0.99
20171008;0.97
20171009;0.96
20171010;0.94
20171011;0.92
20171012;0.9
20171013;0.88
20171014;0.86
20171015;0.84
20171016;0.82
20171017;0.8
20171018;0.78
20171019;0.75
20171020;0.73
20171021;0.71
20171022;0.69
20171023;0.67
20171024;0.65
20171025;0.63
20171026;0.61
20171027;0.6
20171028;0.59
20171029;0.59
20171030;0.59
20171031;0.58
20171101;0.59
20171102;0.6
20171103;0.61
20171104;0.63
20171105;0.65
20171106;0.68
20171107;0.71
20171108;0.75
20171109;0.79
20171110;0.83
20171111;0.89
20171112;0.95
20171113;1.0
20171114;1.07
20171115;1.13
20171116;1.19
20171117;1.25
20171118;1.31
20171119;1.37
20171120;1.43
20171121;1.49
20171122;1.54
20171123;1.59
20171124;1.64
20171125;1.69
20171126;1.73
20171127;1.77
20171128;1.81
20171129;1.85
20171130;1.89
20171201;1.92
20171202;1.96
20171203;1.99
20171204;2.03
20171205;2.06
20171206;2.1
20171207;2.14
20171208;2.18
20171209;2.21
20171210;2.25
20171211;2.29
20171212;2.33
20171213;2.36
20171214;2.4
20171215;2.43
20171216;2.45
20171217;2.48
20171218;2.5
20171219;2.52
20171220;2.54
20171221;2.56
20171222;2.58
20171223;2.6
20171224;2.61
20171225;2.63
20171226;2.66
20171227;2.67
20171228;2.69
20171229;2.71
20171230;2.72
20171231;2.73
20180101;2.74
20180102;2.75
20180103;2.75
20180104;2.74
20180105;2.74
20180106;2.72
20180107;2.71
20180108;2.69
20180109;2.67
20180110;2.65
20180111;2.63
20180112;2.6
20180113;2.58
20180114;2.55
20180115;2.52
20180116;2.5
20180117;2.48
20180118;2.46
20180119;2.44
20180120;2.43
20180121;2.42
20180122;2.42
20180123;2.42
20180124;2.42
20180125;2.42
20180126;2.42
20180127;2.43
20180128;2.44
20180129;2.46
20180130;2.47
20180131;2.48
20180201;2.5
20180202;2.51
20180203;2.53
20180204;2.54
20180205;2.56
20180206;2.57
20180207;2.59
20180208;2.61
20180209;2.62
20180210;2.63
20180211;2.64
20180212;2.65
20180213;2.65
20180214;2.65
20180215;2.65
20180216;2.65
20180217;2.64
20180218;2.64
20180219;2.63
20180220;2.63
20180221;2.63
20180222;2.63
20180223;2.63
20180224;2.63
20180225;2.64
20180226;2.65
20180227;2.66
