TIMESTAMP;TA;EA;VPD;PA;WS;WD;USTAR;SW_IN;SW_OUT;LW_IN;LW_OUT;NETRAD;G;H;LE;PPFD_IN;PPFD_OUT;CO2;FC;LE_C_ECC;LE_C_REA;LE_C_FVS
201904050030;11.18;12.9;0.37570524568626773;100.48;-9999;-9999;-9999;0.0;0.0;372.43;375.2;-2.77;38.21;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904050130;11.28;13.0;0.36402820842684847;100.43;-9999;-9999;-9999;0.0;0.0;372.14;375.28;-3.14;-5.9;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904050230;11.45;13.200000000000001;0.31536655599783536;100.36;-9999;-9999;-9999;0.0;0.0;373.12;375.94;-2.81;-8.76;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904050330;11.56;13.3;0.31409449750160334;100.31;-9999;-9999;-9999;0.0;0.0;370.95;376.08;-5.12;-8.48;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904050430;11.57;13.3;0.323101207043365;100.29;-9999;-9999;-9999;0.0;0.0;373.57;376.4;-2.83;-5.7;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904050530;11.56;13.3;0.31409449750160334;100.27;-9999;-9999;-9999;0.0;0.0;373.61;376.52;-2.91;-9.86;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904050630;11.7;13.4;0.34066729165078335;100.34;-9999;-9999;-9999;10.91;0.0;373.43;377.0;7.34;-6.38;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904050730;12.03;13.5;0.5431296495005569;100.37;2.2;137.5;-9999;48.02;8.08;374.46;380.38;34.03;-6.14;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904050830;12.19;12.6;1.5918785499849406;100.44;0.8;184.5;-9999;68.92;11.75;362.33;381.01;38.49;-6.11;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904050930;12.26;12.3;1.9573915600466911;100.54;0.7;159.9;-9999;134.84;22.78;361.12;385.06;88.12;-1.16;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904051030;12.21;12.4;1.8105694308826603;100.56;1.7;139.6;-9999;128.85;21.49;367.43;384.67;90.12;1.48;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904051130;12.36;12.6;1.7514437937461445;100.59;2.7;134.0;-9999;254.43;43.3;368.67;390.72;189.07;2.45;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904051230;12.68;12.6;2.0560949233722603;100.66;3.0;138.4;-9999;223.34;37.93;367.0;389.9;162.51;10.2;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904051330;12.79;12.5;2.262126655550704;100.63;2.7;145.6;-9999;221.93;38.51;370.09;390.45;163.05;10.41;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904051430;13.67;12.4;3.234996097825439;100.6;2.6;148.4;-9999;320.72;56.2;366.35;399.0;231.87;8.72;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904051530;13.85;12.6;3.219032983365855;100.61;2.4;158.1;-9999;265.18;46.81;362.25;398.47;182.15;13.09;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904051630;13.03;13.100000000000001;1.895817086431732;100.65;2.9;120.3;-9999;144.28;26.26;371.22;390.93;98.31;17.17;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904051730;12.25;13.5;0.7480162746518708;100.66;2.7;110.4;-9999;50.32;9.59;376.28;384.0;33.01;7.09;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
201904051830;11.95;13.4;0.5692717353030421;-9999;2.9;122.3;-9999;5.99;0.0;369.75;379.43;-3.69;1.77;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
