TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20180101,8.645,1.0,183.73,111.443,1.0,294.238,1.0,0.279,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.12025000000000001,1.0,36.084583333333335,1.0,18.693749999999998,1.0,350.90333333333336,1.0,415.995,1.0,14.399999999999999,1.0,-2.65417,1.0,5.26292,1.0,9.24343,-9999,-9999,1.27222,-2.65417,1.0,-4.63723,-9999,-9999,0.702792,0.147807,0.833333,0.254964,-0.402383,-0.0291218,0.193332,0.875,1.0,1.0,0.51885,0.33987,0.437711,0.481388,0.52674,0.224485,0.482432,0.862767,0.986705,0.901114,1.31663,2.05117,0.656279,0.702247,0.884971,1.20862,-9999,-9999
20180102,8.205,1.0,184.351,50.544,1.0,313.304,1.0,0.178,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.08845833333333335,1.0,5.11125,1.0,8.323333333333332,1.0,350.4141666666667,1.0,448.022,1.0,14.499999999999998,1.0,-4.16583,1.0,3.67958,1.0,5.91684,5.59627,8.39395,1.27498,-4.36046,1.0,-7.01171,-9.94718,-6.63182,0.738228,0.526152,0.75,0.257408,0.588902,0.771062,0.831173,0.791667,0.833333,1.0,0.494777,0.32187,0.414539,0.460493,-0.0424099,-0.45759,-0.33738,-0.20924,0.868475,0.79314,1.17041,1.80539,0.301496,0.323748,0.568633,0.815182,-9999,-9999
20180103,9.49,1.0,185.03,48.657,1.0,331.496,1.0,0.208,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.1753125,0.6666666666666666,13.540833333333333,1.0,7.987916666666666,1.0,358.6254166666667,1.0,445.089,1.0,14.799999999999999,1.0,-1.39542,1.0,4.51287,1.0,7.46395,6.86362,10.2949,1.28358,-1.1279,1.0,-1.81368,-2.57299,-1.71542,0.695281,0.540933,0.958333,0.261492,0.54598,0.700785,0.798137,0.916667,0.916667,0.916667,0.554268,0.364131,0.468951,0.513562,-0.148547,-0.436841,-0.201103,-0.142081,1.19464,1.14392,1.41939,2.18092,0.290409,0.311174,0.533306,0.722629,-9999,-9999
20180104,13.366,1.0,185.767,110.522,1.0,337.157,1.0,0.173,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,53.56875,1.0,15.879166666666668,1.0,378.2304166666666,1.0,398.582,1.0,15.7,1.0,7.05333,1.0,23.5675,1.0,38.9788,35.8437,53.7627,2.2035,7.01669,1.0,11.6051,10.6717,16.0066,0.736818,0.295398,0.916667,0.2481,0.375536,0.460893,0.543149,0.958333,1.0,0.916667,0.701754,0.484946,0.614927,0.647304,0.292543,-0.00261139,0.140637,0.222686,2.00228,1.69496,2.00814,2.40072,0.646606,0.688595,0.968819,1.21183,-9999,-9999
20180105,14.715,1.0,186.559,111.183,1.0,345.984,1.0,0.296,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.18533333333333332,0.625,54.38791666666666,1.0,16.236250000000002,1.0,386.5416666666667,1.0,402.221,1.0,16.5,1.0,6.53458,1.0,14.4425,1.0,27.9158,23.2238,36.8843,2.02061,6.53458,1.0,12.6307,10.5077,16.6885,0.668866,0.797294,0.958333,0.242612,0.643833,0.801622,0.880562,0.958333,0.958333,0.958333,0.837023,0.723868,0.754324,0.776248,-0.00834039,-0.0266179,0.0681439,0.148135,2.51784,1.9096,2.34877,2.56899,0.643689,0.676293,0.989152,1.20272,-9999,-9999
20180106,11.912,1.0,187.41,38.811,1.0,357.933,1.0,0.011,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.2534761904761905,0.875,18.569166666666664,1.0,4.470833333333334,1.0,373.70208333333335,1.0,404.783,1.0,17.0,1.0,1.35208,1.0,10.278,1.0,19.8662,16.5272,26.2487,1.95397,1.35208,1.0,2.61344,2.17418,3.45305,0.882988,0.602754,1.0,0.268271,0.357505,0.431936,0.593986,1.0,1.0,1.0,0.877772,0.662188,0.779454,0.865873,0.157061,0.0515065,0.157061,0.199837,2.23097,1.42716,1.74291,2.18682,0.238853,0.246635,0.408529,0.526928,-9999,-9999
20180107,12.388,1.0,188.316,100.585,1.0,353.848,1.0,0.179,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.1413529411764706,0.7083333333333334,63.30666666666667,1.0,14.137916666666667,1.0,376.98791666666665,1.0,405.512,1.0,16.8,1.0,2.05875,1.0,14.3918,1.0,27.8179,23.1423,36.7549,2.47301,2.52724,1.0,4.88489,4.06385,6.45425,0.733101,0.691263,1.0,0.280885,0.55576,0.734914,1.00132,1.0,0.958333,0.958333,1.1709,0.831844,1.06163,1.17014,0.488177,0.135844,0.255696,0.347764,2.46994,1.57565,2.03763,2.41537,0.579039,0.524208,0.860849,1.12296,-9999,-9999
20180108,13.27,1.0,189.279,23.73,1.0,374.274,1.0,0.003,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,16.130416666666665,1.0,2.4091666666666662,1.0,379.4641666666667,1.0,416.121,1.0,19.3,1.0,2.79,1.0,5.50618,1.0,10.6429,8.85404,14.0621,1.0082,2.79,1.0,5.39278,4.48638,7.12532,0.753906,0.757814,1.0,0.242865,0.728332,0.798174,0.821933,1.0,1.0,1.0,1.36448,1.05837,1.33899,1.50682,0.601631,0.434982,0.60154,0.965846,2.48213,1.6938,2.1225,2.57514,0.151715,0.129829,0.188189,0.284286,-9999,-9999
20180109,12.515,1.0,190.297,28.935,1.0,370.359,1.0,0.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,20.108333333333334,1.0,2.7579166666666666,1.0,376.4279166666667,1.0,403.99,1.0,24.8,1.0,-0.370833,1.0,7.62306,1.0,14.7346,12.258,19.4684,1.0899,0.395791,1.0,0.765023,0.63644,1.0108,0.726699,0.617976,1.0,0.26051,0.630016,0.664358,0.70419,1.0,1.0,1.0,1.37763,1.24364,1.37763,1.99993,0.697876,0.5188,0.658379,1.48475,2.2288,1.51387,1.95466,2.35956,0.184533,0.157494,0.204975,0.311402,-9999,-9999
20180110,11.585,1.0,191.37,68.368,1.0,349.544,1.0,0.123,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.24675000000000002,1.0,38.706250000000004,1.0,6.583333333333333,1.0,372.6254166666666,1.0,389.511,1.0,22.7,1.0,-0.216667,1.0,23.7504,1.0,54.1799,38.1911,60.6555,2.22107,-0.216667,1.0,-0.418794,-0.55334,-0.348404,0.703866,1.17194,1.0,0.300643,1.14021,1.29589,1.31067,1.0,1.0,1.0,1.40175,1.34377,1.45729,2.31592,0.249892,-0.0347766,0.214793,1.07393,1.87771,1.39502,1.71074,1.89133,0.41414,0.322863,0.375488,0.51082,-9999,-9999
