TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,6.905,1.0,173.241,47.076,1.0,318.762,1.0,0.202,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.3392631578947368,0.7916666666666666,13.896250000000002,1.0,7.344583333333333,1.0,343.5229166666666,1.0,391.419,1.0,28.799999999999997,1.0,-6.98833,1.0,15.2768,1.0,36.1909,6.19965,38.4932,2.04962,-6.98833,1.0,-12.2964,-17.6086,-2.83602,1.38908,0.480955,1.0,0.329536,0.480955,0.480955,0.480955,1.0,1.0,1.0,1.17599,1.17411,1.17546,1.17665,0.698431,0.696641,0.697995,0.699183,3.38662,2.99784,3.38662,3.38673,1.70125,1.55621,1.70125,1.70129,-9999,-9999
20170102,7.297,1.0,173.865,64.905,1.0,324.456,1.0,0.221,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,31.75583333333334,1.0,9.649166666666668,1.0,346.8279166666666,1.0,409.367,1.0,28.9,1.0,-3.17333,1.0,17.9175,1.0,31.5271,7.27131,45.1471,2.29008,-3.17333,1.0,-5.58369,-7.99591,-1.28781,1.30689,0.145261,1.0,0.294673,0.145261,0.145261,0.145261,1.0,1.0,1.0,1.20151,1.19719,1.20137,1.20186,1.04721,1.04284,1.04702,1.04751,3.40866,3.01734,3.40866,3.40876,1.76771,1.62231,1.76771,1.76775,-9999,-9999
20170103,9.371,1.0,174.547,40.741,1.0,345.939,1.0,0.253,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,26.345416666666665,1.0,5.382083333333333,1.0,355.11625000000004,1.0,457.314,1.0,34.300000000000004,1.0,1.67458,1.0,11.3228,0.958333,19.9232,13.0878,28.5302,1.70686,1.67458,1.0,2.94654,1.93562,4.21948,1.16901,-0.214388,0.958333,0.286309,-0.237436,-0.214388,-0.214388,0.958333,0.958333,0.958333,1.38064,1.30709,1.37599,1.39459,1.72975,1.66695,1.72975,1.75345,4.31886,3.89538,4.31886,4.31899,1.51739,1.38458,1.51739,1.51743,-9999,-9999
20170104,10.723,1.0,175.288,13.629,1.0,360.487,1.0,0.122,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,8.979583333333332,1.0,1.52125,1.0,363.80375000000004,1.0,402.236,1.0,36.199999999999996,1.0,5.9,1.0,8.77008,1.0,13.0638,10.1372,20.7764,1.17383,5.9,1.0,8.78854,6.8197,13.9772,1.60763,0.105216,1.0,0.260557,-0.0945729,0.105216,0.105216,1.0,1.0,1.0,1.38635,1.28485,1.37472,1.39397,1.15302,1.12182,1.15302,1.37697,6.01219,5.54515,6.01219,6.01234,1.35563,1.20994,1.35563,1.35568,-9999,-9999
20170105,6.146,1.0,176.085,118.382,1.0,284.568,1.0,0.207,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.20135,0.8333333333333334,36.80916666666667,1.0,20.14875,1.0,344.45458333333335,1.0,419.482,1.0,33.900000000000006,1.0,-10.1558,1.0,24.0787,1.0,35.8673,27.8322,57.0428,2.52816,-9.5143,1.0,-14.1723,-22.5395,-10.9974,1.48113,0.0061448,0.958333,0.344892,-0.00109187,0.00147164,0.0061448,0.958333,0.958333,0.958333,0.913164,0.882185,0.900214,0.919936,0.893529,0.862163,0.883647,0.901295,6.33461,5.8863,6.33461,6.33476,2.9092,2.73141,2.9092,2.90926,-9999,-9999
20170106,3.163,1.0,176.941,101.859,1.0,278.347,1.0,0.156,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,30.77541666666666,1.0,17.164166666666667,1.0,330.4504166666666,1.0,412.961,1.0,31.4,1.0,-13.2663,1.0,16.0863,0.916667,23.9619,18.5939,38.1087,2.57544,-13.3191,1.0,-19.8399,-31.5531,-15.3953,1.66039,0.454847,1.0,0.29647,0.425017,0.425017,0.454847,1.0,1.0,1.0,0.661461,0.61306,0.647059,0.677544,0.213183,0.195429,0.214986,0.24371,6.02352,5.59723,6.02352,6.02367,2.82797,2.64556,2.82797,2.82804,-9999,-9999
20170107,11.275,1.0,177.853,33.785,1.0,358.9,1.0,0.164,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.27791666666667,1.0,3.7587500000000005,1.0,365.3475,1.0,408.922,1.0,34.1,1.0,13.0046,1.0,12.3103,1.0,18.3373,14.2293,29.1633,1.96906,13.0046,1.0,19.3714,15.0318,30.808,1.62154,0.208204,1.0,0.272669,0.16529,0.19377,0.208204,1.0,1.0,1.0,0.964295,0.89068,0.891883,0.963114,0.769552,0.743027,0.744342,0.768255,6.03085,4.98641,6.03085,6.04712,1.98496,1.63066,1.98496,1.99353,-9999,-9999
20170108,16.008,1.0,178.822,6.122,1.0,376.324,1.0,0.319,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,0.0,0.49166666666666664,1.0,-9999,0.0,381.788,1.0,36.7,1.0,18.7787,1.0,5.82992,1.0,8.68415,6.7387,13.8112,1.09218,18.7787,1.0,27.9725,21.706,44.4871,1.52304,0.595193,1.0,0.276378,0.507831,0.555351,0.601083,1.0,1.0,1.0,1.08666,0.925034,0.955757,1.07716,0.63082,0.540253,0.557161,0.615628,4.41663,2.13589,4.41663,4.46824,0.477227,0.252502,0.477227,0.487553,-9999,-9999
20170109,12.461,1.0,179.847,45.63,1.0,347.871,1.0,0.245,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.22442857142857142,0.5833333333333334,15.497083333333336,1.0,5.78625,1.0,371.77458333333334,1.0,390.323,1.0,35.9,1.0,-0.5375,1.0,14.4858,1.0,21.5778,16.7438,34.317,1.92124,-0.613605,1.0,-0.719101,-1.07968,-0.249014,1.7739,-0.806251,1.0,0.349835,-0.992568,-0.806251,-0.806251,1.0,1.0,1.0,0.853884,0.693184,0.761033,0.855032,1.55298,1.53063,1.5678,1.58545,2.56403,0.384152,2.56395,2.56403,1.22067,0.483683,1.22064,1.22067,-9999,-9999
20170110,11.698,1.0,180.928,13.893,1.0,358.908,1.0,0.155,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,4.9245833333333335,1.0,1.7158333333333335,1.0,366.2445833333333,1.0,388.546,1.0,37.2,1.0,-3.00917,1.0,8.33532,1.0,9.7684,3.38265,14.6666,1.08661,-3.00917,1.0,-3.52653,-5.29483,-1.22118,1.68147,0.206662,1.0,0.387545,-0.040712,0.206662,0.206662,1.0,1.0,1.0,0.781503,0.619987,0.679165,0.784459,0.574417,0.574841,0.603661,0.657156,1.24489,0.285332,1.24486,1.24489,0.368129,0.147445,0.36812,0.368129,-9999,-9999
