TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,6.827,1.0,173.305,50.99,1.0,319.933,1.0,0.169,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.34863157894736846,0.7916666666666666,16.54375,1.0,7.763333333333333,1.0,345.4470833333333,1.0,398.968,1.0,32.9,1.0,-4.8475,1.0,13.8076,1.0,21.3506,8.32249,32.9641,3.36727,-4.8475,1.0,-7.1436,-11.5728,-2.92181,0.949252,0.523133,1.0,0.203543,0.503214,0.523749,0.568294,1.0,1.0,1.0,0.631113,0.629298,0.662018,0.697028,0.127664,0.0422644,0.0998252,0.128592,0.861441,0.861511,0.861671,4.68922,0.529818,0.52983,0.529908,2.2394,-9999,-9999
20170102,7.111,1.0,173.929,68.487,1.0,326.304,1.0,0.177,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.3004285714285715,0.875,35.07541666666666,1.0,10.122916666666667,1.0,348.3379166666666,1.0,420.407,1.0,32.9,1.0,-2.13833,1.0,26.2048,1.0,38.6171,15.7948,62.5607,3.45927,-2.13833,1.0,-3.15119,-5.10501,-1.28887,0.942275,-1.00142,1.0,0.206249,-1.04691,-1.00142,-1.00142,1.0,1.0,1.0,0.641445,0.639408,0.770681,0.824759,1.8001,1.71792,1.78895,1.84737,0.885768,0.88584,0.886005,4.82164,0.701799,0.701812,0.701894,2.54175,-9999,-9999
20170103,9.166,1.0,174.611,43.213,1.0,348.598,1.0,0.2,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,29.040833333333335,1.0,5.877083333333334,1.0,356.50874999999996,1.0,398.376,1.0,37.2,1.0,1.53208,1.0,17.1348,1.0,25.251,10.3389,40.9072,2.1421,1.53208,1.0,2.25778,0.924438,3.65767,0.850783,0.879882,1.0,0.200105,0.848251,0.869833,0.879882,1.0,1.0,1.0,0.802733,0.79782,0.994093,1.11133,0.0282959,-0.139376,0.0282959,0.155579,1.19119,1.19129,1.19151,5.13146,0.446769,0.446778,0.446839,1.51695,-9999,-9999
20170104,10.55,1.0,175.352,14.1,1.0,362.39,1.0,0.089,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,9.42125,1.0,1.6254166666666665,1.0,365.4358333333333,1.0,386.433,1.0,39.1,1.0,6.14875,1.0,12.0581,1.0,17.7697,7.27571,23.0561,1.61086,6.14875,1.0,9.06122,3.71007,11.7569,1.08192,1.71004,1.0,0.216053,1.68563,1.71004,1.73372,1.0,1.0,1.0,0.984081,0.975206,1.18078,1.36655,-0.465454,-0.643717,-0.465454,-0.315023,1.35025,1.35036,1.35062,3.16737,0.149811,0.149815,0.149844,0.372267,-9999,-9999
20170105,6.053,1.0,176.149,126.193,1.0,287.317,1.0,0.178,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,45.64958333333334,1.0,20.60166666666667,1.0,345.4604166666666,1.0,407.359,0.958333,38.7,1.0,-8.01708,1.0,27.2201,0.958333,40.1134,16.4242,52.047,3.28643,-8.01708,1.0,-11.8145,-15.3293,-4.8374,1.15884,-0.666952,1.0,0.224212,-0.625726,-0.550462,-0.433359,1.0,1.0,1.0,0.882511,0.882688,1.05579,1.3609,1.70976,1.39619,1.61041,1.89085,0.745769,0.745817,0.745972,0.869112,1.25902,1.25904,1.25913,1.316,-9999,-9999
20170106,3.092,1.0,177.005,111.793,1.0,280.926,1.0,0.127,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.1343076923076923,0.5416666666666666,41.111250000000005,1.0,17.503333333333334,1.0,331.96875,1.0,406.781,1.0,36.1,1.0,-12.3038,1.0,16.8956,0.958333,24.8985,10.1946,32.3057,2.494,-12.4803,1.0,-18.3918,-23.8633,-7.53045,1.24217,-0.220846,1.0,0.225422,-0.33037,-0.220846,-0.156218,1.0,1.0,1.0,0.870252,0.871139,1.04861,1.45402,1.2579,1.22186,1.2807,1.47451,0.548825,0.548833,0.548985,0.639629,1.12144,1.12148,1.12159,1.17763,-9999,-9999
20170107,11.105,1.0,177.917,36.626,1.0,360.571,1.0,0.137,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.22583333333333,1.0,4.353333333333333,1.0,367.1308333333333,1.0,392.433,1.0,37.8,1.0,10.54,1.0,13.8249,1.0,20.3733,8.34175,26.4343,1.8122,10.54,1.0,15.5325,6.35969,20.1533,1.26984,0.836718,1.0,0.217085,0.801261,0.836718,0.916495,1.0,1.0,1.0,1.50239,1.48785,1.69496,2.09615,0.826003,0.657804,0.810557,1.1188,2.28167,2.25444,2.25839,2.32315,0.661767,0.640058,0.640102,0.661808,-9999,-9999
20170108,15.824,1.0,178.886,12.01,1.0,382.486,1.0,0.263,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,5.098333333333334,1.0,1.3975,1.0,388.3,1.0,382.792,1.0,39.1,1.0,17.4492,1.0,9.43634,1.0,13.906,5.69375,18.043,1.38272,17.4492,1.0,25.7143,10.5286,33.3642,1.22939,0.903089,1.0,0.226309,0.835424,0.903089,0.993792,1.0,1.0,1.0,1.98079,1.9615,2.18237,2.69706,1.23234,1.05844,1.23234,1.66139,4.98647,4.56224,4.56239,4.94382,0.6937,0.576684,0.57669,0.693737,-9999,-9999
20170109,12.347,1.0,179.91,45.274,1.0,345.804,1.0,0.207,1.0,-9999,-9999,-9999,-9999,-9999,-9999,0.22215384615384615,0.5416666666666666,11.286666666666669,1.0,5.749583333333334,1.0,373.45625,1.0,384.251,1.0,39.4,1.0,1.64583,1.0,14.332,1.0,21.1207,8.64776,27.404,2.54184,1.64583,1.0,2.42541,0.993073,3.14696,1.27874,1.55236,1.0,0.252343,1.55236,1.55236,1.55236,1.0,1.0,1.0,1.84034,1.80795,1.98983,2.59788,0.496089,0.261348,0.496089,1.02979,3.58169,3.06324,3.06324,3.46907,1.42191,1.23976,1.23976,1.42197,-9999,-9999
20170110,11.49,1.0,180.991,14.426,1.0,358.918,1.0,0.12,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,3.265833333333333,1.0,1.847916666666667,1.0,368.1175,1.0,386.127,1.0,39.7,1.0,-1.14708,1.0,8.05394,1.0,11.8688,4.85963,18.0844,1.15322,-1.14708,1.0,-1.69042,-2.57568,-0.692134,1.06971,2.11262,1.0,0.255221,2.11262,2.11262,2.12105,1.0,1.0,1.0,1.91265,1.8398,2.01015,2.6732,-0.0617668,-0.272822,-0.0617668,0.538943,2.39232,2.00917,2.18529,2.29311,0.62461,0.50865,0.50865,0.624657,-9999,-9999
