TIMESTAMP;SW_IN;SW_BELOW
201906250930;808;458
201906250945;820;486
201906251000;852;436
201906251015;889;504
201906251030;938;580
201906251045;854;452
201906251100;846;525
201906251115;1058;625
201906251130;1069;623
201906251145;1058;577
201906251200;1070;566
201906251215;1055;398
201906251230;921;420
201906251245;1063;375
201906251300;1061;511
201906251315;1058;604
201906251330;1039;666
201906251345;999;529
201906251400;972;446
201906251415;944;365
201906251430;914;419
201906251445;880;306
201906251500;844;270
201906251515;807;380
201906251530;767;458
201906251545;725;519
201906251600;680;448
201906251615;632;380
201906251630;582;412
201906251645;532;346
201906251700;482;293
201906251715;431;292
201906251730;379;247
201906251745;293;189
201906251800;271;167
201906251815;233;100
201906251830;188;84
201906251845;144;67
201906251900;78;25
201906251915;16;5
201906251930;9;3
201906251945;2;0
201906252000;-2;0
201906252015;-4;0
201906252030;-4;0
201906252045;-4;0
201906252100;-4;0
201906252115;-3;0
201906252130;-3;0
201906252145;-3;0
201906252200;-3;0
201906252215;-3;0
201906252230;-3;0
201906252245;-3;0
201906252300;-3;0
201906252315;-3;0
201906252330;-3;0
201906252345;-3;0
201906260000;-3;0
201906260015;-3;0
201906260030;-3;0
201906260045;-3;0
201906260100;-3;0
201906260115;-3;0
201906260130;-2;0
201906260145;-2;0
201906260200;-2;0
201906260215;-2;0
201906260230;-3;0
201906260245;-2;0
201906260300;-3;0
201906260315;-3;0
201906260330;-3;0
201906260345;-3;0
201906260400;-2;0
201906260415;-2;0
201906260430;-3;1
201906260445;-2;1
201906260500;3;2
201906260515;14;5
201906260530;66;13
201906260545;100;21
201906260600;137;29
201906260615;176;41
201906260630;220;52
201906260645;266;96
201906260700;314;154
201906260715;364;151
201906260730;415;187
201906260745;466;198
201906260800;516;231
201906260815;567;330
201906260830;619;341
201906260845;682;254
201906260900;744;312
201906260915;788;292
201906260930;902;471
201906260945;816;580
201906261000;792;459
201906261015;953;546
201906261030;965;615
201906261045;1008;533
201906261100;1063;664
201906261115;1074;629
201906261130;1051;611
201906261145;1018;583
201906261200;1077;583
201906261215;1020;403
201906261230;893;454
201906261245;793;345
201906261300;1051;561
201906261315;1050;610
201906261330;1003;637
201906261345;997;512
201906261400;994;480
201906261415;947;353
201906261430;918;452
201906261445;883;305
201906261500;846;286
201906261515;805;331
201906261530;764;429
201906261545;720;463
201906261600;675;432
201906261615;629;353
201906261630;580;433
201906261645;531;336
201906261700;480;289
201906261715;427;301
201906261730;375;239
201906261745;325;181
201906261800;276;167
201906261815;228;95
201906261830;181;78
201906261845;140;66
201906261900;81;26
201906261915;18;6
201906261930;10;3
201906261945;2;0
201906262000;-2;0
201906262015;-3;0
201906262030;-3;0
201906262045;-3;0
201906262100;-3;0
201906262115;-3;0
201906262130;-3;0
201906262145;-3;0
201906262200;-3;0
201906262215;-3;0
201906262230;-3;0
201906262245;-3;0
201906262300;-4;0
201906262315;-3;0
201906262330;-3;0
201906262345;-3;0
201906270000;-3;0
201906270015;-3;0
201906270030;-3;0
201906270045;-3;0
201906270100;-3;0
201906270115;-3;0
201906270130;-3;0
201906270145;-3;0
201906270200;-3;0
201906270215;-3;0
201906270230;-3;0
201906270245;-3;0
201906270300;-3;0
201906270315;-3;0
201906270330;-2;0
201906270345;-3;0
201906270400;-3;0
201906270415;-3;0
201906270430;-3;0
201906270445;-1;0
201906270500;4;1
201906270515;13;4
201906270530;65;13
201906270545;98;21
201906270600;136;30
201906270615;177;43
201906270630;221;50
201906270645;268;98
201906270700;317;154
201906270715;366;146
201906270730;417;177
201906270745;468;197
201906270800;502;237
201906270815;517;326
201906270830;632;364
201906270845;667;249
201906270900;713;336
201906270915;756;265
201906270930;818;401
201906270945;855;612
201906271000;890;557
201906271015;917;502
201906271030;943;579
201906271045;970;473
201906271100;994;644
201906271115;1028;621
201906271130;1011;581
201906271145;1036;588
201906271200;1028;580
201906271215;894;363
201906271230;1097;518
201906271245;1078;359
201906271300;1069;536
201906271315;1021;575
201906271330;1004;692
201906271345;1007;549
201906271400;928;486
201906271415;919;402
201906271430;753;361
201906271445;868;324
201906271500;787;293
201906271515;612;285
201906271530;493;254
201906271545;441;228
201906271600;516;281
201906271615;389;208
201906271630;416;230
201906271645;525;314
201906271700;329;170
201906271715;371;219
201906271730;323;180
201906271745;173;86
201906271800;197;103
201906271815;156;77
