TIMESTAMP;SW_BELOW;SW_IN
201306121359;626;922
201306121414;595;901
201306121429;467;874
201306121444;327;838
201306121459;280;814
201306121514;308;779
201306121529;370;740
201306121544;429;699
201306121559;344;652
201306121614;233;607
201306121629;176;559
201306121644;190;511
201306121659;151;464
201306121714;110;415
201306121729;61;363
201306121744;56;312
201306121759;68;259
201306121814;67;208
201306121829;32;157
201306121844;19;110
201306121859;14;68
201306121914;11;31
201306121929;9;6
201306121944;0;0
201306121959;0;0
201306122014;0;0
201306122029;0;0
201306122044;0;0
201306122059;0;0
201306122114;0;0
201306122129;0;0
201306122144;0;0
201306122159;0;0
201306122214;0;0
201306122229;0;0
201306122244;0;0
201306122259;0;0
201306122314;0;0
201306122329;0;0
201306122345;0;0
201306130000;0;0
201306130015;0;0
201306130030;0;0
201306130045;0;0
201306130100;0;0
201306130115;0;0
201306130130;0;0
201306130145;0;0
201306130200;0;0
201306130215;0;0
201306130230;0;0
201306130245;0;0
201306130300;0;0
201306130315;0;0
201306130330;0;0
201306130345;0;0
201306130400;0;0
201306130415;0;0
201306130430;0;0
201306130445;9;1
201306130500;10;12
201306130515;14;32
201306130530;19;50
201306130545;27;35
201306130600;48;130
201306130615;57;187
201306130630;79;237
201306130645;179;286
201306130700;199;217
201306130715;241;308
201306130730;235;431
201306130745;264;481
201306130800;351;531
201306130815;472;578
201306130830;498;626
201306130845;538;672
201306130900;471;714
201306130915;505;754
201306130930;465;791
201306130945;544;829
201306131000;599;857
201306131015;585;888
201306131030;652;912
201306131045;624;935
201306131100;654;955
201306131115;670;970
201306131130;676;985
201306131145;680;994
201306131200;686;996
201306131215;685;1001
201306131230;709;999
201306131245;661;990
201306131300;724;987
201306131315;785;976
201306131330;715;966
201306131345;595;949
201306131400;572;927
201306131415;554;901
201306131430;582;881
201306131445;564;857
201306131500;490;820
201306131515;558;781
201306131530;462;745
201306131545;394;708
201306131600;368;670
201306131615;297;629
201306131630;245;582
201306131645;196;532
201306131700;192;481
201306131715;172;423
201306131730;171;367
201306131745;125;312
201306131800;101;259
201306131815;95;207
201306131830;60;157
201306131845;37;109
201306131900;20;67
201306131915;13;31
201306131930;10;6
201306131945;0;0
201306132000;0;0
201306132015;0;0
201306132030;0;0
201306132045;0;0
201306132100;0;0
201306132115;0;0
201306132130;0;0
201306132145;0;0
201306132200;0;0
201306132215;0;0
201306132230;0;0
201306132245;0;0
201306132300;0;0
201306132315;0;0
201306132330;0;0
201306132345;0;0
201306140000;0;0
201306140015;0;0
201306140030;0;0
201306140045;0;0
201306140100;0;0
201306140115;0;0
201306140130;0;0
201306140145;0;0
201306140200;0;0
201306140215;0;0
201306140230;0;0
201306140245;0;0
201306140300;0;0
201306140315;0;0
201306140330;0;0
201306140345;0;0
201306140400;0;0
201306140415;0;0
201306140430;0;0
201306140445;8;1
201306140500;12;9
201306140515;16;22
201306140530;23;49
201306140545;43;35
201306140600;64;131
201306140615;72;176
201306140630;105;241
201306140645;135;290
201306140700;177;343
201306140715;209;400
201306140730;225;448
201306140745;263;496
201306140800;337;546
201306140815;451;595
201306140830;507;643
201306140845;558;688
201306140900;626;727
201306140915;679;767
201306140930;608;804
201306140945;663;838
201306141000;609;871
201306141015;584;906
201306141030;617;928
201306141045;584;946
201306141100;568;970
201306141115;595;985
201306141130;737;1000
201306141145;745;1024
201306141200;791;1023
201306141215;801;1033
201306141230;754;1041
201306141245;705;1031
201308070815;-9999;474
201308070830;293;500
201308070845;371;576
