TIMESTAMP;FLAG_TSEBPT;LE_TSEBPT;H_TSEBPT;NETRAD_TSEBPT;G_TSEBPT;T_S_TSEBPT;T_C_TSEBPT;T_AC_TSEBPT;LN_S_TSEBPT;LN_C_TSEBPT;LE_C_TSEBPT;H_C_TSEBPT;LE_S_TSEBPT;H_S_TSEBPT;R_S_TSEBPT;R_X_TSEBPT;R_A_TSEBPT;USTAR_TSEBPT;L_MO_TSEBPT;ITERATIONS_TSEBPT
201805190530;5;0.0;-20.918102;-27.759716050758975;-6.8416133;287.07608;285.6342;285.7512;-20.642986;-57.001057;0.0;-8.21225;0.0;-12.7058525;134.7754;17.532824;22.556316;0.2503122;82.12093353271484;3.0
201805190630;0;79.3458;33.94796;130.42325680446518;17.12949;290.63165;289.261;289.05643;-23.3223;-69.51559;64.70463;16.777222;14.641174;17.170738;111.80976;14.858472;15.308918;0.37914592;-120.27445220947266;6.0
201805190730;0;170.46207;73.98735;286.78628330799575;42.33688;294.9782;291.94708;291.63638;-34.360085;-70.44113;137.58388;28.239899;32.878185;45.747456;88.36734;13.310767;12.2026415;0.47306433;-107.29502868652344;5.0
201805190830;0;282.89252;118.918686;447.4162659201452;45.60508;299.27625;294.60776;294.10437;-45.916504;-70.94194;272.61786;44.498177;10.274643;74.42051;83.51014;13.593579;12.170248;0.4578434;-60.16929626464844;6.0
201805190930;3;172.41235;347.2926;519.862490819205;0.15749176;297.1437;301.87027;297.84192;-6.0713167;-137.56517;167.68884;351.72363;4.723503;-4.4310184;188.1988;13.707649;11.069249;0.4646471;-24.0898380279541;3.0
201805191030;0;424.23956;157.67722;664.998316124532;83.081535;306.06696;298.46967;297.96982;-66.49319;-64.58125;387.4015;40.221;36.83806;117.45622;81.873024;14.75913;13.104198;0.39692223;-28.91877555847168;7.0
201805191130;0;471.37073;161.5574;710.587528400083;77.65939;308.27637;300.14062;299.7096;-71.557785;-65.69;453.65894;35.044605;17.7118;126.512794;79.91163;14.515685;12.780188;0.40948504;-30.50191307067871;7.0
201805191230;3;292.86566;377.81723;679.9374114267595;9.254495;302.86935;307.2638;302.9322;-12.066365;-147.7689;275.1144;378.38156;17.75125;-0.564329;130.6201;13.431169;10.658302;0.48372477;-24.411331176757812;3.0
201805191330;3;404.09723;218.18654;664.033345308586;41.74955;307.42957;304.15646;302.48438;-53.51313;-93.474106;397.55;147.19891;6.5472565;70.987625;81.43612;13.214478;11.130868;0.49010247;-40.83937454223633;3.0
201805191430;0;365.101;125.104904;564.565087648584;74.35918;308.87924;302.07254;301.93414;-64.49609;-73.617096;339.00568;13.104622;26.095345;112.00028;72.344086;12.324846;10.389621;0.55253595;-96.36800384521484;5.0
201805191530;3;273.3916;122.108154;430.4418674714633;34.942127;306.02066;302.65448;301.9867;-48.27126;-86.93199;268.0015;62.605743;5.3901215;59.50241;79.0318;12.353364;10.530073;0.55020785;-101.08246612548828;3.0
201805191630;3;68.01627;161.7105;226.9746170697104;-2.7521527;300.95868;304.05045;302.1788;-9.768635;-125.49568;64.47542;170.36249;3.5408583;-8.651999;164.50696;12.815828;11.02841;0.5139872;-70.59416961669922;3.0
201805191730;3;48.538456;39.834766;91.95295513459786;3.5797389;300.1454;300.0927;299.73035;-22.441341;-96.13743;46.6313;35.093834;1.907155;4.7409315;102.56731;12.081599;10.586403;0.56934226;-369.6263427734375;3.0
201805191830;5;0.0;-54.865704;-58.420552753117015;-3.5548496;297.41104;295.3585;295.87662;-29.70376;-77.32114;0.0;-48.26384;0.0;-6.601864;94.76212;12.711879;12.349049;0.5017837;208.96124267578125;3.0
201805200530;5;0.0;-24.212523;-31.183827385096166;-6.9713035;285.10516;283.23676;283.3928;-24.239042;-65.25742;0.0;-11.265816;0.0;-12.946707;129.59512;17.194828;22.428398;0.24681506;70.59599304199219;3.0
201805200630;3;49.63224;60.811256;123.76957131068673;13.32608;288.04367;286.4924;286.06735;-25.848433;-74.763405;48.271713;37.423347;1.360527;23.387909;104.25648;13.980011;13.925938;0.41222915;-95.12525939941406;3.0
201805200730;0;154.95493;95.82405;292.43247426319317;41.65349;292.65625;288.9647;288.54037;-37.56564;-71.426445;134.636;38.78651;20.318932;57.037544;88.37177;13.396091;12.529728;0.4503854;-74.872314453125;6.0
201805200830;0;252.14273;143.37762;443.47208367392045;47.95173;296.74677;291.59238;290.93616;-47.176514;-69.140465;247.5244;58.942734;4.618332;84.43488;83.733574;13.5459795;12.272684;0.4447053;-47.69988250732422;6.0
201805200930;3;139.76096;301.45084;447.05102384898464;5.8392525;294.0057;297.15765;293.8237;-10.109068;-117.57058;130.63007;299.7374;9.13089;1.7134358;128.56097;13.457875;11.293207;0.4598052;-27.09341049194336;3.0
201805201030;0;371.36078;168.64516;610.609647744561;70.60373;302.15683;295.2207;294.51572;-58.939274;-61.447575;350.24945;58.635265;21.111328;110.00989;83.56256;14.464557;13.023928;0.39698467;-27.985790252685547;7.0
201805201130;0;446.0975;184.5555;714.9503562954615;84.29732;305.3566;297.1205;296.38934;-68.28875;-58.03503;417.03824;57.062588;29.059258;127.49291;84.108635;15.322311;13.602662;0.3607253;-18.89762306213379;8.0
201805201230;3;257.4603;381.98904;638.6023820976853;-0.8469403;299.43402;305.36032;299.98367;-2.4277248;-148.87079;256.8293;384.1929;0.63096905;-2.2038581;296.4532;16.674086;12.799811;0.32945836;-7.6219801902771;3.0
201805201330;3;338.7422;237.73721;597.1528916105314;20.673452;302.5713;302.15186;299.46155;-32.71476;-95.00343;335.28802;202.79784;3.454174;34.93938;105.41724;15.661102;13.521458;0.3523669;-14.288629531860352;4.0
201805201430;0;381.68936;132.44995;588.6635756480422;74.52427;306.86517;299.5175;299.1321;-64.40329;-63.772133;346.71863;29.018457;34.970726;103.431496;88.26237;15.678209;14.635872;0.3419328;-21.693767547607422;7.0
201805201530;3;259.13937;153.20941;438.4543332123103;26.10557;303.2398;300.8253;299.53702;-41.66712;-87.75837;257.0897;106.77731;2.0496826;46.43209;93.96675;14.149538;13.008444;0.4121205;-34.964900970458984;3.0
201805201630;3;49.445744;189.09824;236.7074905906486;-1.8364778;298.34747;301.9229;299.5721;-5.2470794;-120.44118;46.0972;195.85738;3.3485441;-6.7591457;213.69821;14.156777;12.799586;0.4129651;-31.615859985351562;3.0
201805201730;5;0.0;46.414093;50.4973641378578;4.0832734;297.2248;296.7781;296.36453;-20.580013;-83.45493;0.0;38.83087;0.0;7.583223;105.191376;12.625898;11.835375;0.5008864;-236.6497344970703;3.0
201805201830;5;0.0;-44.615345;-48.87035099152701;-4.255007;295.04016;292.79938;293.16873;-25.940895;-57.65984;0.0;-36.71319;0.0;-7.902156;89.62243;12.030099;11.327281;0.53997266;320.42938232421875;3.0
201805210530;5;0.0;-14.234661;-18.81837212754317;-4.58371;285.38962;283.78003;283.86414;-20.920036;-58.13883;0.0;-5.7220573;0.0;-8.512604;141.90532;18.16651;25.181513;0.21312775;77.65750122070312;3.0
201805210630;3;67.17743;67.79192;147.35556528336394;12.386208;288.76395;287.54495;287.02515;-23.189323;-71.92427;64.479645;47.48675;2.6977844;20.305172;105.01522;13.394044;13.276481;0.43172383;-96.5223159790039;3.0
201805210730;0;153.37183;77.87043;268.59092001880254;37.348667;292.83298;289.679;289.28296;-32.58814;-65.45315;127.9508;33.929634;25.42102;43.940796;98.412674;14.218493;14.281261;0.3864688;-56.75099182128906;6.0
201805210830;0;257.19604;126.66885;432.70332657781773;48.838413;297.02466;292.11237;291.45444;-43.669735;-61.700592;239.22165;53.94332;17.974388;72.72553;92.7864;14.775839;14.197038;0.36511973;-29.28128433227539;7.0
201805210930;3;233.79227;244.19655;490.93510958209913;12.946261;295.6469;296.8848;293.81793;-20.301622;-102.93021;227.61606;226.32971;6.176216;17.86684;123.59665;16.328285;14.104931;0.3190999;-10.68630313873291;4.0
201805211030;0;430.2272;168.29073;667.3934514284099;68.875496;302.95435;295.83682;294.76755;-59.92311;-61.538048;402.21698;68.38932;28.010223;99.901405;98.405594;18.774487;16.037416;0.25199735;-6.998540878295898;10.0
